end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220630,28298762.42,18103421.590000004,240200761.53,782572.2,981993322.48,431591558.79,379704628.79999995,965399608.27,301085.SZ
20220331,16903162.61,-148482238.59,221870942.81,886937.82,1029380899.08,293312547.96,254841446.72,1016126020.57,301085.SZ
20211231,-2172404.399999991,46427530.3,273005023.42,1851964.76,1065470766.02,338202772.28999996,315350065.8299999,1050848945.13,301085.SZ
20210930,25951943.709999993,-97939384.28999999,291904151.62,4480991.17,718058717.41,338779216.36,290555057.01000005,704581657.36,301085.SZ
20220930,79855530.10000001,40427703.21,78573572.0,2166261.1,2830926499.82,323822718.87,213463453.20000005,2810868108.52,688261.SH
20220630,63451383.95,79426510.55000001,64840193.06,3358791.88,2735112386.63,260605908.83,172292282.78999996,2718274377.33,688261.SH
20220331,47099413.06,-18940838.92,80598042.66,4887358.58,2705577524.85,205662518.28,137945372.36,2689381117.52,688261.SH
20211231,51734541.870000005,71106708.08000001,59587005.3,3192110.23,628572810.01,222897119.0,158299944.96999997,613620267.65,688261.SH
20210930,40769507.83,26488027.519999996,48410488.51,3568700.21,563643669.21,238370421.19999993,164143241.46999997,546888716.81,688261.SH
20220930,22648790.65,-36362673.71,726265303.88,367091592.12,1956877904.39,232481859.99,150277380.19,1049973622.7,002877.SZ
20220630,14338588.35,22104239.21,701939674.91,343922774.07,1884491511.53,231005476.4,156919755.8,1001063823.23,002877.SZ
20220331,10020115.33,-63746771.34,648211294.88,287242741.11,1774451356.6,154781785.35,102375826.07,920490096.1,002877.SZ
20211231,21713463.75,-89110.76000000536,643198197.57,259210986.17,1730688480.63,199488075.57000005,134075695.59000003,873496658.93,002877.SZ
20210930,17405961.569999997,-68859132.24,629631330.15,212824731.86,1647088073.83,193519488.06,117736238.03,884767716.25,002877.SZ
20220930,172250392.85999998,88050293.76999992,5558733373.4,2032731731.8,14462557070.92,2199096406.9900002,1602414943.7000003,6073370540.15,002250.SZ
20220630,158672229.76,4889680.820000052,5225787187.44,1612290782.79,13559795774.12,2009675401.09,1480149347.49,5644967004.17,002250.SZ
20220331,53190435.71,465654770.34,5127777806.71,1339399384.99,12890587600.58,1693054812.68,1246991433.24,5169324381.91,002250.SZ
20211231,41084958.639999986,372098726.41999996,5025701146.98,1286942841.29,12641780515.38,1846821774.25,1362599665.7299995,5151251767.69,002250.SZ
20210930,82914998.97999999,185539307.43,4447715938.9,1327464452.88,12057925166.99,1726352094.8700004,1297107494.02,4838511032.04,002250.SZ
20220930,54603459.59,328712767.2,8470222082.45,130260154.19,18322265431.5,2112011170.12,1730943269.3300004,12466505404.08,600312.SH
20220630,73670717.14,-120363817.77000001,8667266537.07,132177207.01,18423014059.92,2397730624.0,1915965006.56,12426057426.75,600312.SH
20220331,39233600.3,-131944189.19,9317463258.77,85322581.95,18972472593.75,1619205570.37,1357043040.58,13115667218.62,600312.SH
20211231,-43361488.62,1241497104.4099998,9600951398.43,81735412.6,19175290656.28,3370066599.54,2823458317.3899994,12865752380.86,600312.SH
20210930,38454596.41,400356824.34000003,10940328779.41,81742147.95,20525551098.01,2379751361.7000003,2107272202.96,14192591742.94,600312.SH
20220930,59645100.73,147100125.48,526733727.88,441889528.98,2948623421.14,502036021.93999994,384005249.36,956779455.88,605108.SH
20220630,-6142652.340000002,96998009.16,469216629.48,435420512.45,2818232402.84,321120284.01000005,289089132.45,885376380.6,605108.SH
20220331,18485688.94,66038256.99,395040454.26,445028686.03,2828148454.09,424127575.56,357067805.19,916660214.58,605108.SH
20211231,58353340.699999996,54986730.19000003,412334345.78,460529483.99,2838142428.12,487049538.8800001,348166692.6400001,1007195151.06,605108.SH
20210930,5864753.8500000015,121999817.38,371082115.22,467431395.27,2719675065.06,329232317.5999999,547687692.13,1099821966.08,605108.SH
20220930,99493869.03999999,-124532759.26000005,2635998861.81,68777862.16,9723603246.41,2074450323.2599998,1781568294.46,4589235705.83,600433.SH
